Plaintext,Ciphertext,Algorithm,Key
Exist goal adult this enter appear.,tO3DuhqV9yA5qS2iI4HJujsn7CfGC/llRot8IVs8aanKX5N6UjpPXjh50eaqGDL5,AES,eba0f5ba1141a4f0e104c769f85dae9f
Face stuff through prove.,7zF5ciKy7j3IFpIwM4TnPcv3aF5DZRvegqtkRvnL57s=,AES,b3715162390cd831138543f838967537
Painting long however.,XyTb/Wdpco5EnKczdZLPPWD7fgMZghAT0GznObGB7tU=,AES,f4c76c2bd8343eadb6db1415f8a756bb
Nothing any continue only visit institution.,NubYMmLoL5LsiW9sLfb8qLJkw0rv7kyNGPt86hZMt+/M+QagbMwZXyL1WM7d4YKb,AES,de878582f29c2bec5f2eda46dde0391a
Nice performance year budget claim base treat take.,W5lXWUqyJeSNnAJCeWvHoPANwCCu9RpZh+bZCP2JydmwmI2wZbW4A+qshkOJ8IK/ukhxjg33bY9mheDsTOVIyA==,AES,ba3dbd26eff0698152f0c5f19162cc39
Time chance grow yourself argue past paper.,qCitEbW1BJoM8FhA8IDf5g4Cw8bH3DH/ICr+FdbT3Uj7poBdVKzuGW0h8zjQ919j,AES,50dd1cf6ef783485790686d12457eeb3
Author base performance create others.,8UQAOoqzpigjOwD/I31o6uBxBBmUzJU2pQIAzsu5KcrLXd4dZQikO9lvLcSOxUvz,AES,9b02e08fe1f606e6d4582da74d720f27
Significant end hold cut.,9jO71YCv6zXhAa01FO5pGG+D9hiRHsqT/7Du/fPaDIs=,AES,a5818c2eb366dffa070122f2393ec864
Federal no I standard.,3kLIzn7MjTPHWjI43Z+7adpM6Jam9D4L4bgJcm88MYA=,AES,9b7b426aa24c1c4b51f706d3e7d61b53
Training service hand some fear bit.,1vDX8l8z4cGMyxXufp4aQzOul9+9isDYPcaSx7IteOPu5TThPCdIElnU28Lh+pdT,AES,3a4a0754ad0598c73c1d28134fada345
Difference sound today.,3atLTPQR1iwTqqO8szy7jYCBfKmM9m4EwINVBY3rT8Q=,AES,60a13dfaea03301a5aec6db4abd20366
